,grade,dba_master,cuisine_description,lat,lng,grade_date
0,A,SHASHEMENE INT'L RESTAURANT,Caribbean,40.652218700000006,-73.9244528,2018-04-28
1,A,TEXAS FRIED CHICKEN AND PIZZA,American,40.6705501,-73.9312202,2018-04-28
2,Z,LITTLE BROWN JUG,American,40.7006133,-73.82629539999998,2018-04-28
3,A,NEW YONG SHENG,Chinese,40.690383600000004,-73.82523859999998,2018-04-28
4,A,SNACK TAVERNA,Greek,40.7310259,-74.00482190000001,2018-04-28
5,A,SILVER'S CRUST WEST INDIAN RESTAURANT & GRILL,Caribbean,40.642434,-73.926643,2018-04-28
6,Z,LICHEE NUT,Chinese,40.694184299999996,-73.9928051,2018-04-28
8,A,SOHNA PUNJAB,Indian,40.6934876,-73.82919989999998,2018-04-28
9,A,HONG KONG RESTAURANT,Chinese,40.695300399999994,-73.84320459999998,2018-04-28
10,A,MR KING FOOD KITCHEN,Chinese,40.660433700000006,-73.9395183,2018-04-28
